
Filling stored sums matrix with 62 X 62 terms guaranteeing 20 digits accuracy...

Processing the barrier for X= 6000000185827.00000000000000000...6000000185828.00000000000000000 (N = 690988), y0 = 0.1809000000...1 , t = 0...0.1809000000

Rectangle(1) : 0, 52725.000000000000000, 9600.0000000000000000, 0.0000000000, 4.2783620904181587383, 38396
Rectangle(2) : 7.1661680235526955681e-5, 52561.000000000000000, 9570.0000000000000000, 0.0000000000, 4.2745641321342917146, 38276
Rectangle(3) : 0.00014347470000559015301, 52397.000000000000000, 9540.0000000000000000, 0.0000000000, 4.2707641215968937400, 38156
Rectangle(4) : 0.00021543996751321260734, 52233.000000000000000, 9510.0000000000000000, 0.0000000000, 4.2669620370723435279, 38036
Rectangle(5) : 0.00028755839909999382856, 52070.000000000000000, 9480.0000000000000000, 0.0000000000, 4.2631578566592219636, 37916
Rectangle(6) : 0.00035982953135770886531, 51906.000000000000000, 9451.0000000000000000, 0.0000000000, 4.2593516313282568879, 37800
Rectangle(7) : 0.00043225567922747838883, 51743.000000000000000, 9421.0000000000000000, 0.0000000000, 4.2555432658769444265, 37680
Rectangle(8) : 0.00050483638127175383530, 51579.000000000000000, 9391.0000000000000000, 0.0000000000, 4.2517328114746657407, 37560
Rectangle(9) : 0.00057757398400687211485, 51416.000000000000000, 9361.0000000000000000, 0.0000000000, 4.2479201720295449366, 37440
Rectangle(10) : 0.00065046802811822937594, 51254.000000000000000, 9331.0000000000000000, 0.0000000000, 4.2441053989099549811, 37320
Rectangle(11) : 0.00072351804175443250118, 51091.000000000000000, 9302.0000000000000000, 0.0000000000, 4.2402885439436328199, 37204
Rectangle(12) : 0.00079672640612278764827, 50928.000000000000000, 9272.0000000000000000, 0.0000000000, 4.2364695100428614846, 37084
Rectangle(13) : 0.00087009409207241970695, 50766.000000000000000, 9242.0000000000000000, 0.0000000000, 4.2326482742676860114, 36964
Rectangle(14) : 0.00094362063098168350578, 50604.000000000000000, 9213.0000000000000000, 0.0000000000, 4.2288248887512469723, 36848
Rectangle(15) : 0.0010173069974497739131, 50442.000000000000000, 9183.0000000000000000, 0.0000000000, 4.2249993305599895855, 36728
Rectangle(16) : 0.0010911541750113295530, 50280.000000000000000, 9154.0000000000000000, 0.0000000000, 4.2211715765787896196, 36612
Rectangle(17) : 0.0011651631562479801023, 50118.000000000000000, 9124.0000000000000000, 0.0000000000, 4.2173416035087406864, 36492
Rectangle(18) : 0.0012393349429016522497, 49957.000000000000000, 9095.0000000000000000, 0.0000000000, 4.2135093878649078744, 36376
Rectangle(19) : 0.0013136690579979332089, 49796.000000000000000, 9065.0000000000000000, 0.0000000000, 4.2096749826676803267, 36256
